0:epoch:99 | loss:0.0007 | MAE:0.0154 | RMSE:0.0258 | RE:1.0000
0:epoch:199 | loss:0.0005 | MAE:0.0135 | RMSE:0.0225 | RE:1.0000
0:epoch:299 | loss:0.0004 | MAE:0.0127 | RMSE:0.0205 | RE:1.0000
0:epoch:399 | loss:0.0004 | MAE:0.0122 | RMSE:0.0193 | RE:1.0000
0:epoch:499 | loss:0.0003 | MAE:0.0117 | RMSE:0.0183 | RE:1.0000
0:epoch:599 | loss:0.0003 | MAE:0.0118 | RMSE:0.0180 | RE:1.0000
0:epoch:699 | loss:0.0003 | MAE:0.0113 | RMSE:0.0171 | RE:1.0000
0:epoch:799 | loss:0.0003 | MAE:0.0110 | RMSE:0.0167 | RE:1.0000
0:epoch:899 | loss:0.0002 | MAE:0.0103 | RMSE:0.0155 | RE:1.0000
0:epoch:999 | loss:0.0002 | MAE:0.0096 | RMSE:0.0143 | RE:0.0000
1:epoch:99 | loss:0.0006 | MAE:0.0143 | RMSE:0.0254 | RE:1.0000
1:epoch:199 | loss:0.0004 | MAE:0.0124 | RMSE:0.0210 | RE:1.0000
1:epoch:299 | loss:0.0004 | MAE:0.0116 | RMSE:0.0194 | RE:1.0000
1:epoch:399 | loss:0.0005 | MAE:0.0166 | RMSE:0.0232 | RE:1.0000
1:epoch:499 | loss:0.0003 | MAE:0.0111 | RMSE:0.0173 | RE:1.0000
1:epoch:599 | loss:0.0002 | MAE:0.0103 | RMSE:0.0155 | RE:1.0000
1:epoch:699 | loss:0.0002 | MAE:0.0085 | RMSE:0.0130 | RE:0.0016
1:epoch:799 | loss:0.0001 | MAE:0.0070 | RMSE:0.0113 | RE:0.0016
1:epoch:899 | loss:0.0001 | MAE:0.0071 | RMSE:0.0111 | RE:0.0016
1:epoch:999 | loss:0.0001 | MAE:0.0065 | RMSE:0.0099 | RE:0.0016
2:epoch:99 | loss:0.0007 | MAE:0.0167 | RMSE:0.0274 | RE:1.0000
2:epoch:199 | loss:0.0006 | MAE:0.0149 | RMSE:0.0243 | RE:1.0000
2:epoch:299 | loss:0.0005 | MAE:0.0146 | RMSE:0.0228 | RE:1.0000
